latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
51.4845,6.70569,342.21,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,291.54,9.23,N
51.48369,6.71117,330.63,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,289.53,3.88,N
36.02002,0.12622,309.5,0.4,0.37,2025-06-24,0141,N21,nominal,2.0NRT,295.59,1.31,N
51.48288,6.71665,323.56,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,286.59,3.88,N
36.01666,0.12554,326.28,0.4,0.37,2025-06-24,0141,N21,nominal,2.0NRT,297.4,2.77,N
51.48207,6.72213,324.38,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,287.11,2.75,N
35.09554,5.64621,314.05,0.46,0.39,2025-06-24,0141,N21,nominal,2.0NRT,297.65,2.79,N
51.46175,6.74336,305.91,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,286.31,0.74,N
51.42513,6.73531,298.04,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,287.02,0.87,N
34.98007,5.71296,313.75,0.47,0.4,2025-06-24,0141,N21,nominal,2.0NRT,299.24,4.31,N
51.36761,6.70682,310.68,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,289.06,1.08,N
51.29771,7.01385,307.25,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,285.99,1.03,N
35.78492,0.53861,306.33,0.39,0.37,2025-06-24,0141,N21,nominal,2.0NRT,295.78,1.03,N
51.01705,6.93654,298.33,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,284.25,0.39,N
51.25641,4.33758,302.4,0.42,0.38,2025-06-24,0137,N21,nominal,2.0NRT,288.56,0.83,N
34.57053,7.24309,308.65,0.56,0.43,2025-06-24,0141,N21,nominal,2.0NRT,295.13,1.49,N
50.87532,6.91999,300.37,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,285.43,0.63,N
50.8201,7.01244,303.81,0.38,0.36,2025-06-24,0137,N21,nominal,2.0NRT,284.72,0.8,N
35.83086,-0.305,318.14,0.41,0.37,2025-06-24,0141,N21,nominal,2.0NRT,295.27,1.65,N
50.57352,8.48828,303.72,0.39,0.36,2025-06-24,0137,N21,nominal,2.0NRT,283.77,0.92,N
51.17488,3.80559,327.2,0.43,0.38,2025-06-24,0137,N21,nominal,2.0NRT,287.36,4.58,N
35.81581,-0.27105,320.24,0.41,0.37,2025-06-24,0141,N21,nominal,2.0NRT,296.6,2.42,N
51.17414,3.8117,335.46,0.43,0.38,2025-06-24,0137,N21,nominal,2.0NRT,289.84,4.58,N
35.8152,-0.26656,311.76,0.41,0.37,2025-06-24,0141,N21,nominal,2.0NRT,297.22,2.07,N
51.17143,3.80454,337.38,0.43,0.38,2025-06-24,0137,N21,nominal,2.0NRT,290.06,4.23,N
35.81486,-0.26917,329.85,0.41,0.37,2025-06-24,0141,N21,nominal,2.0NRT,297.68,2.26,N
51.17069,3.81063,327.2,0.43,0.38,2025-06-24,0137,N21,nominal,2.0NRT,286.98,4.23,N
35.81209,-0.27431,322.77,0.41,0.37,2025-06-24,0141,N21,nominal,2.0NRT,295.35,2.26,N
51.16994,3.81672,322.06,0.43,0.38,2025-06-24,0137,N21,nominal,2.0NRT,285.97,5.66,N
51.1692,3.8228,330.93,0.43,0.38,2025-06-24,0137,N21,nominal,2.0NRT,288.59,5.66,N
35.8096,-0.25635,320.76,0.41,0.37,2025-06-24,0141,N21,nominal,2.0NRT,297.17,2.32,N
51.1665,3.81565,327.57,0.43,0.38,2025-06-24,0137,N21,nominal,2.0NRT,287.46,5.66,N
35.80399,-0.216,310.5,0.41,0.37,2025-06-24,0141,N21,nominal,2.0NRT,296.78,2,N
51.16798,3.80347,312.22,0.43,0.38,2025-06-24,0137,N21,nominal,2.0NRT,286.51,4.23,N
35.80434,-0.24356,317.39,0.41,0.37,2025-06-24,0141,N21,nominal,2.0NRT,297.84,2.38,N
51.16109,3.80132,303.29,0.43,0.38,2025-06-24,0137,N21,nominal,2.0NRT,287.96,0.58,N
51.06881,4.34975,301.29,0.42,0.37,2025-06-24,0137,N21,nominal,2.0NRT,283.53,0.57,N
35.77298,-0.26835,307.81,0.41,0.37,2025-06-24,0141,N21,nominal,2.0NRT,295.65,1.61,N
51.10315,3.73821,296.82,0.43,0.38,2025-06-24,0137,N21,nominal,2.0NRT,286.67,0.82,N
35.76497,-0.26072,310.78,0.41,0.37,2025-06-24,0141,N21,nominal,2.0NRT,296.9,3.41,N
50.76337,5.67042,311.62,0.39,0.37,2025-06-24,0137,N21,nominal,2.0NRT,286.15,1.3,N
35.76283,-0.27042,310.32,0.41,0.37,2025-06-24,0141,N21,nominal,2.0NRT,298.8,1.72,N
48.45732,17.19053,301.32,0.52,0.5,2025-06-24,0137,N21,nominal,2.0NRT,286.69,1.04,N
45.94932,25.28004,301.41,0.7,0.75,2025-06-24,0137,N21,nominal,2.0NRT,286.09,2.21,N
35.33966,1.35632,318.15,0.39,0.36,2025-06-24,0141,N21,nominal,2.0NRT,290.14,1.93,N
